key,group,candidate_stroke_count,template_stroke_count,Stroke_Difference,Normalized_Stroke_Difference,Stroke_Ratio,Stroke_Similarity
SLD7_590_567,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_194_104,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_526_221,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1550_132,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_120_434,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_183_226,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_263_225,D_RandomBG,21.0,2.0,19.0,9.5,10.5,0.05
SLD3_267_219,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1076_669,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_120_415,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1066_154,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_402_669,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_501_467,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_584_608,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_767_423,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_1212_176,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_874_36,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_436_133,D_RandomBG,12.0,2.0,10.0,5.0,6.0,0.09090909090909091
SLD10_96_650,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_438_4,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_567_74,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1545_175,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_873_79,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1447_168,A_TrueMR,9.0,2.0,7.0,3.5,4.5,0.125
SLD7_1436_89,D_RandomBG,14.0,2.0,12.0,6.0,7.0,0.07692307692307693
SLD3_189_228,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_403_177,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1266_456,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_753_178,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_861_37,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_710_141,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_540_610,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD9_1438_80,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1035_136,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_207_93,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_861_410,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_690_101,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1310_167,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1010_100,D_RandomBG,24.0,2.0,22.0,11.0,12.0,0.043478260869565216
SLD3_695_145,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1583_100,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_96_38,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_900_299,A_TrueMR,10.0,2.0,8.0,4.0,5.0,0.1111111111111111
SLD10_597_646,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1633_51,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_39_83,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_631_406,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1008_636,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1068_655,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_100_69,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1246_645,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD12_460_42,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_485_343,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_231_186,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_545_86,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1263_164,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1490_491,D_RandomBG,9.0,2.0,7.0,3.5,4.5,0.125
SLD7_334_72,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1598_72,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1066_648,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1241_10,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_647_414,D_RandomBG,17.0,2.0,15.0,7.5,8.5,0.0625
SLD8_765_139,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1273_43,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_455_579,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_886_380,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_490_285,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_897_288,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_183_181,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_760_123,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1592_74,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_591_53,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1124_650,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_731_598,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1279_485,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_519_412,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_803_26,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1270_37,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_794_73,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_23_398,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_563_506,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_138_165,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_757_49,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_997_85,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1361_84,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1239_487,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_346_334,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_1226_163,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_1435_93,D_RandomBG,16.0,2.0,14.0,7.0,8.0,0.06666666666666667
SLD7_565_502,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_710_848,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_136_25,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_718_432,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1386_511,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1238_30,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_193_476,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_478_123,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1500_505,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1272_87,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_248_135,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1050_505,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1211_7,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_131_609,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1208_85,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_722_156,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1152_72,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_479_69,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1687_41,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1687_457,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_534_504,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1008_159,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_115_233,D_RandomBG,18.0,2.0,16.0,8.0,9.0,0.058823529411764705
SLD2_281_428,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_1699_126,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
