sld_name,ground_truth_x,ground_truth_y,best_candidate_x,best_candidate_y,association_distance,stage3_rank,stage4_rank,stage5_rank,template_id,template_scale,template_rotation,chamfer_score,coverage_score,verification_score,combined_score
SLD2,780,142,752.0,137.0,22.02271554554524,2574,1184,-1,T_0.400_000,0.4,0,6.932560443878174,0,0,6.932560443878174
SLD2,704,324,697.0,334.0,12.854960132182441,5077,5953,-1,T_0.400_180,0.4,180,7.128332138061523,0,0,7.128332138061523
SLD2,788,324,785.0,334.0,11.045361017187261,5078,3478,-1,T_0.372_180,0.372,180,6.933065891265869,0,0,6.933065891265869
SLD2,631,337,650.0,334.0,21.095023109728988,4998,5241,-1,T_0.372_180,0.372,180,7.383445739746094,0,0,7.383445739746094
SLD2,37,333,33.0,337.0,7.648529270389178,5076,6283,-1,T_0.289_180,0.289,180,4.997026443481445,0,0,4.997026443481445
SLD2,121,333,102.0,334.0,11.180339887498949,5058,5952,-1,T_0.400_180,0.4,180,6.496439456939697,0,0,6.496439456939697
SLD2,206,333,199.0,334.0,9.86154146165801,5059,4744,-1,T_0.372_180,0.372,180,7.066904544830322,0,0,7.066904544830322
SLD2,291,333,284.0,334.0,9.86154146165801,5060,4745,-1,T_0.372_180,0.372,180,7.066904544830322,0,0,7.066904544830322
SLD2,376,333,373.0,337.0,7.905694150420948,5061,6284,-1,T_0.289_180,0.289,180,5.133403778076172,0,0,5.133403778076172
SLD2,461,333,459.0,334.0,15.620499351813308,5062,6013,-1,T_0.400_180,0.4,180,6.975214004516602,0,0,6.975214004516602
SLD2,548,333,539.0,336.0,8.139410298049853,5063,5637,-1,T_0.317_180,0.317,180,5.768426895141602,0,0,5.768426895141602
SLD2,971,333,948.0,334.0,13.901438774457844,5064,4780,-1,T_0.372_180,0.372,180,7.081294059753418,0,0,7.081294059753418
SLD2,734,323,735.0,334.0,11.045361017187261,5124,5242,-1,T_0.372_180,0.372,180,7.383445739746094,0,0,7.383445739746094
SLD2,601,323,613.0,334.0,18.76832437912346,4998,6224,-1,T_0.400_180,0.4,180,7.120035171508789,0,0,7.120035171508789
SLD2,816,336,798.0,337.0,24.682990094394967,5105,6205,-1,T_0.289_180,0.289,180,5.145320892333984,0,0,5.145320892333984
SLD3,1014,325,984.0,320.0,24.020824298928627,3101,1019,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1044,325,1014.0,320.0,24.020824298928627,3131,1049,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1074,325,1044.0,320.0,24.020824298928627,3161,1079,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1104,325,1074.0,320.0,24.020824298928627,3191,1109,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1134,325,1104.0,320.0,24.020824298928627,3221,1139,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1164,325,1134.0,320.0,24.020824298928627,3251,1169,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1194,325,1164.0,320.0,24.020824298928627,3281,1199,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1224,325,1194.0,320.0,24.020824298928627,3311,1229,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1254,325,1224.0,320.0,24.020824298928627,3341,1259,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1284,325,1254.0,320.0,24.020824298928627,3371,1289,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1314,325,1284.0,320.0,24.020824298928627,3401,1319,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1344,325,1314.0,320.0,24.020824298928627,3431,1349,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1374,325,1344.0,320.0,24.020824298928627,3461,1379,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1404,325,1374.0,320.0,24.020824298928627,3491,1409,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
SLD3,1434,325,1404.0,320.0,24.020824298928627,3521,1439,-1,T_0.400_000,0.4,0,7.170087814331055,0,0,7.170087814331055
